isoform	structural_category	filter_reason
PB.15815.1	antisense	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.15816.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0614580319622711 < 0.5; subcategory: 3prime_fragment
PB.15817.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15818.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15822.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.1430752162278095 < 0.5
PB.15822.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 2.47838431573618e-06 < 0.5
PB.15824.1	novel_not_in_catalog	coding: non_coding; min_cov: 0.0 < 10
PB.15826.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 80.0 > 59
PB.15829.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15833.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15834.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15835.1	incomplete-splice_match	subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15836.1	novel_in_catalog	diff_to_gene_TSS: -1266.0 < -50; within_CAGE_peak: False < True; min_cov: 9.0 < 10
PB.15836.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15839.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.22967.1	fusion	coding: non_coding; min_cov: 1.0 < 10
PB.22971.2	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.076243009908943 < 0.5
PB.22972.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0966112550845094 < 0.5; subcategory: mono-exon; all_canonical: nan
PB.22974.1	full-splice_match	perc_A_downstream_TTS: 85.0 > 59; dist_to_CAGE_peak: 21.0 > 0
PB.22978.1	novel_in_catalog	min_cov: 3.0 < 10; diff_to_gene_TTS: -2252.0 < -50
PB.22978.3	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0484904207588897 < 0.5; subcategory: 5prime_fragment
PB.22986.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.22988.1	novel_in_catalog	min_cov: 0.0 < 10; diff_to_gene_TSS: -8059.0 < -50; within_CAGE_peak: False < True
PB.22990.1	genic_intron	coding: non_coding; perc_A_downstream_TTS: 85.0 > 59; exons: 1 < 2; all_canonical: nan
PB.22991.1	incomplete-splice_match	FSM_class: C; ratio_exp: 8.005672622644495e-09 < 0.5; subcategory: 3prime_fragment
PB.22994.1	antisense	coding: non_coding; min_cov: 0.0 < 10
PB.22995.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.22996.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.22996.2	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0198920297127528 < 0.5; subcategory: 3prime_fragment
PB.22997.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.22998.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0607872620765972 < 0.5
PB.23001.2	novel_in_catalog	diff_to_gene_TSS: -13677.0 < -50; within_CAGE_peak: False < True
PB.23004.1	novel_in_catalog	diff_to_gene_TSS: -769.0 < -50; min_cov: 0.0 < 10; within_CAGE_peak: False < True
PB.23004.2	novel_not_in_catalog	perc_A_downstream_TTS: 75.0 > 59; min_cov: 0.0 < 10
PB.23007.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23008.1	intergenic	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.23010.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23012.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0163299525868488 < 0.5; subcategory: 3prime_fragment
PB.23012.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23013.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 80.0 > 59
PB.23015.1	novel_in_catalog	all_canonical: nan
PB.23017.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0151883886098243 < 0.5
PB.23022.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0158080533024944 < 0.5; subcategory: 3prime_fragment
PB.23023.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23024.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.23026.1	genic	perc_A_downstream_TTS: 85.0 > 59; exons: 1 < 2; all_canonical: nan
PB.23027.1	incomplete-splice_match	ratio_exp: 0.1474338978545921 < 0.5; subcategory: 3prime_fragment
PB.23030.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23035.3	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.1035644172459084 < 0.5
PB.23038.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.2040964679988869 < 0.5
PB.23039.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23040.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0007367402675468 < 0.5
PB.23043.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.2219631364584518 < 0.5
PB.23045.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23047.1	novel_in_catalog	polyA_motif_found: False < True; min_cov: 0.0 < 10; diff_to_gene_TSS: -197.0 < -50
PB.23047.2	novel_in_catalog	diff_to_gene_TSS: -216.0 < -50; min_cov: 0.0 < 10; polyA_motif_found: False < True
PB.23049.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23049.3	full-splice_match	diff_to_gene_TSS: 93.0 > 50; dist_to_CAGE_peak: 14.0 > 0
PB.23051.1	incomplete-splice_match	subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23052.1	novel_in_catalog	polyA_motif_found: False < True; diff_to_gene_TTS: -8643.0 < -50; min_cov: 4.0 < 10
PB.23052.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0967403540306166 < 0.5
PB.23053.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 4.8951527977941004e-09 < 0.5
PB.23054.1	full-splice_match	diff_to_gene_TSS: -131.0 < -50; dist_to_CAGE_peak: 3.0 > 0
PB.23058.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23058.4	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23058.5	genic	coding: non_coding; perc_A_downstream_TTS: 75.0 > 59; all_canonical: nan; exons: 1 < 2
PB.23058.6	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.23061.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 1.0486494216703172e-05 < 0.5
PB.23064.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23067.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23068.2	genic	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23072.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23074.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.23078.2	novel_in_catalog	diff_to_gene_TSS: -208.0 < -50; polyA_motif_found: False < True; min_cov: 3.0 < 10; diff_to_gene_TTS: -1227.0 < -50; within_CAGE_peak: False < True
PB.23082.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23089.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23095.1	incomplete-splice_match	FSM_class: C; subcategory: intron_retention; ratio_exp: 0.0 < 0.5
PB.23095.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23096.1	novel_not_in_catalog	coding: non_coding; min_cov: 0.0 < 10
PB.23098.1	incomplete-splice_match	FSM_class: C; subcategory: mono-exon; ratio_exp: 0.0 < 0.5; all_canonical: nan
PB.23100.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.23103.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.23108.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 9.916598154628789e-08 < 0.5
PB.23109.1	full-splice_match	dist_to_CAGE_peak: 6.0 > 0; perc_A_downstream_TTS: 65.0 > 59
PB.23111.1	full-splice_match	diff_to_gene_TSS: -891.0 < -50; dist_to_CAGE_peak: -203.0 < -50; perc_A_downstream_TTS: 100.0 > 59
PB.23113.1	genic	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 100.0 > 59
PB.23116.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.1658322841655425 < 0.5
PB.23117.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 95.0 > 59
PB.23121.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0438106570543991 < 0.5
